CAD_ID,count
202000316705,1
202000350509,1
202000304838,1
202000305019,1
202000306078,1
202000306632,1
202000307412,1
202000308099,1
202000308292,1
202000315929,1
202000311646,1
202000312495,1
202000312502,1
202000313674,1
202000314442,1
202000314686,1
202000314692,1
202000314839,1
202000310741,1
202000337558,1
202000342004,1
202000342192,1
202000343101,1
202000343175,1
202000343897,1
202000345151,1
202000327579,1
202000346731,1
202000346986,1
202000347075,1
202000348207,1
202000348327,1
202000348708,1
202000348745,1
202000349265,1
202000345154,1
202000327837,1
202000327891,1
202000328646,1
202000328647,1
202000330079,1
202000330438,1
202000330810,1
202000336001,1
202000331966,1
202000333988,1
202000334064,1
202000334199,1
202000335297,1
202000335456,1
202000335485,1
202000335491,1
202000330892,1
202000073804,1
202000072752,1
202000072717,1
202000072571,1
202000071858,1
202000071383,1
202000071381,1
202000067718,1
202000066970,1
202000066451,1
202000066280,1
202000066274,1
202000064549,1
202000062640,1
202000062194,1
202000203508,1
202000050673,1
202000050824,1
202000050994,1
202000051926,1
202000052244,1
202000054517,1
202000054779,1
202000061864,1
202000054891,1
202000054987,1
202000057734,1
202000059098,1
202000060609,1
202000061081,1
202000061721,1
202000061812,1
202000054821,1
202000091035,1
202000091704,1
202000091712,1
202000092812,1
202000093084,1
202000093617,1
202000095540,1
202000074745,1
202000097944,1
202000098015,1
202000099305,1
202000099865,1
202000102542,1
202000102809,1
202000102889,1
202000104512,1
202000097682,1
202000076095,1
202000076329,1
202000077151,1
202000077349,1
202000078358,1
202000078762,1
202000079965,1
202000090838,1
202000083812,1
202000084489,1
202000084743,1
202000085017,1
202000085881,1
202000087557,1
202000087584,1
202000088632,1
202000083809,1
202000024736,1
202300366054,1
202300380636,1
202300379770,1
202300379639,1
202300379099,1
202300378734,1
202300377516,1
202300377178,1
202300374133,1
202300373578,1
202300373349,1
202300372755,1
202300372291,1
202300367651,1
202000049647,1
202400253534,1
202000000930,1
202000001607,1
202000002596,1
202000002644,1
202000003457,1
202000003892,1
202300366800,1
202000004832,1
202000005498,1
202000006013,1
202000006669,1
202000006670,1
202000008453,1
202000009143,1
202300382405,1
202000004207,1
202000035895,1
202000035978,1
202000036701,1
202000037765,1
202000038234,1
202000040777,1
202000040893,1
202000025464,1
202000043572,1
202000045635,1
202000045805,1
202000046049,1
202000046519,1
202000047439,1
202000048648,1
202000048795,1
202000041260,1
202000025835,1
202000026849,1
202000028129,1
202000028217,1
202000028540,1
202000031441,1
202000032125,1
202000033618,1
202000032201,1
202000032481,1
202000032662,1
202000032722,1
202000032920,1
202000033016,1
202000033094,1
202000033569,1
202000032166,1
202000178361,1
202000178294,1
202000177064,1
202000177054,1
202000175512,1
202000175028,1
202000174838,1
202000173753,1
202000173628,1
202000173018,1
202000171544,1
202000171278,1
202000171051,1
202000171023,1
202000169242,1
202000106496,1
202000160049,1
202000160325,1
202000160549,1
202000161343,1
202000161480,1
202000161985,1
202000161986,1
202000168045,1
202000164153,1
202000164618,1
202000165944,1
202000166368,1
202000167577,1
202000168030,1
202000168035,1
202000168041,1
202000162971,1
202000194164,1
202000194698,1
202000197277,1
202000197385,1
202000197440,1
202000197468,1
202000198468,1
202000179276,1
202000198882,1
202000199579,1
202000201041,1
202000201676,1
202000202115,1
202000202355,1
202000202505,1
202000202874,1
202000198686,1
202000179545,1
202000180621,1
202000181016,1
202000181017,1
202000181732,1
202000182820,1
202000184825,1
202000193260,1
202000185956,1
202000187665,1
202000187676,1
202000191059,1
202000191757,1
202000191935,1
202000193098,1
202000193211,1
202000184944,1
202000132837,1
202000132336,1
202000132290,1
202000131673,1
202000131118,1
202000127688,1
202000127599,1
202000127289,1
202000127183,1
202000127004,1
202000126897,1
202000125864,1
202000125470,1
202000122930,1
202000120855,1
202000158280,1
202000107480,1
202000109386,1
202000109515,1
202000109705,1
202000110506,1
202000112540,1
202000113286,1
202000120827,1
202000114295,1
202000114298,1
202000116402,1
202000116974,1
202000117165,1
202000117167,1
202000120585,1
202000120825,1
202000113682,1
202000148930,1
202000149041,1
202000150056,1
202000151526,1
202000152661,1
202000152767,1
202000152875,1
202000133355,1
202000154549,1
202000155726,1
202000156142,1
202000156780,1
202000156781,1
202000156927,1
202000156936,1
202000157436,1
202000154508,1
202000133521,1
202000133685,1
202000134396,1
202000135906,1
202000136738,1
202000137111,1
202000137112,1
202000146982,1
202000137363,1
202000138168,1
202000140484,1
202000142904,1
202000143087,1
202000143185,1
202000143956,1
202000146034,1
202000137113,1
202100281135,1
202100280356,1
202100280307,1
202100279896,1
202100279593,1
202100279123,1
202100279104,1
202100278666,1
202100278665,1
202100278282,1
202100278258,1
202100277638,1
202100276523,1
202100276312,1
202100275327,1
202100020958,1
202100261771,1
202100261772,1
202100261812,1
202100262980,1
202100263569,1
202100264446,1
202100264461,1
202100274215,1
202100268600,1
202100269385,1
202100269676,1
202100271907,1
202100272087,1
202100272373,1
202100272652,1
202100273599,1
202100265100,1
202100288944,1
202100289860,1
202100290024,1
202100290106,1
202100290255,1
202100291063,1
202100291743,1
202100281261,1
202100296930,1
202100297311,1
202100298402,1
202100298468,1
202100299753,1
202100300629,1
202100300630,1
202100302814,1
202100294590,1
202100281848,1
202100283033,1
202100283299,1
202100283871,1
202100284159,1
202100285437,1
202100285462,1
202100288778,1
202100286093,1
202100286381,1
202100287276,1
202100287479,1
202100287534,1
202100287887,1
202100288532,1
202100288590,1
202100286055,1
202100242422,1
202100241518,1
202100241308,1
202100241010,1
202100240949,1
202100240673,1
202100240246,1
202100240096,1
202100239552,1
202100239010,1
202100238801,1
202100238541,1
202100237871,1
202100237471,1
202100237465,1
202100261519,1
202100228688,1
202100229383,1
202100229984,1
202100230773,1
202100230907,1
202100231011,1
202100232963,1
202100237010,1
202100234423,1
202100234560,1
202100234927,1
